Movie title,Release year,Ratings,User count,Director,Language,IMDB link
Raiders of the Lost Ark,(1981),8.4,"854,511",Steven Spielberg,English German Hebrew Spanish Arabic Nepali ,https://www.imdb.com/title/tt0082971/
The Great Dictator,(1940),8.4,"193,836",Charles Chaplin,English Esperanto ,https://www.imdb.com/title/tt0032553/
The Lives of Others,(2006),8.4,"344,346",Florian Henckel von Donnersmarck,German ,https://www.imdb.com/title/tt0405094/
Django Unchained,(2012),8.4,"1,297,274",Quentin Tarantino,English German French Italian ,https://www.imdb.com/title/tt1853728/
Paths of Glory,(1957),8.4,"169,077",Stanley Kubrick,See more ,https://www.imdb.com/title/tt0050825/
The Shining,(1980),8.4,"853,393",Stanley Kubrick,English ,https://www.imdb.com/title/tt0081505/
Avengers: Infinity War,(2018),8.4,"775,460",Anthony Russo,English ,https://www.imdb.com/title/tt4154756/
WALL·E,(2008),8.4,"962,203",Andrew Stanton,English ,https://www.imdb.com/title/tt0910970/
Sunset Blvd.,(1950),8.4,"192,111",Billy Wilder,See more ,https://www.imdb.com/title/tt0043014/
Spider-Man: Into the Spider-Verse,(2018),8.4,"318,266",Bob Persichetti,English Spanish ,https://www.imdb.com/title/tt4633694/
Mononoke-hime,(1997),8.4,"322,479",Hayao Miyazaki,Japanese ,https://www.imdb.com/title/tt0119698/
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,(1964),8.4,"435,509",Stanley Kubrick,English Russian ,https://www.imdb.com/title/tt0057012/
Oldeuboi,(2003),8.4,"492,728",Chan-wook Park,Korean ,https://www.imdb.com/title/tt0364569/
Witness for the Prosecution,(1957),8.4,"101,725",Billy Wilder,See more ,https://www.imdb.com/title/tt0051201/
Avengers: Endgame,(2019),8.3,"719,720",Anthony Russo,English Japanese Xhosa German ,https://www.imdb.com/title/tt4154796/
The Dark Knight Rises,(2012),8.3,"1,462,400",Christopher Nolan,English Arabic ,https://www.imdb.com/title/tt1345836/
Once Upon a Time in America,(1984),8.3,"297,113",Sergio Leone,See more ,https://www.imdb.com/title/tt0087843/
Aliens,(1986),8.3,"631,509",James Cameron,English ,https://www.imdb.com/title/tt0090605/
Kimi no na wa.,(2016),8.3,"168,733",Makoto Shinkai,Japanese ,https://www.imdb.com/title/tt5311514/
Coco,(2017),8.3,"339,012",Lee Unkrich,English Spanish ,https://www.imdb.com/title/tt2380307/
American Beauty,(1999),8.3,"1,037,882",Sam Mendes,English ,https://www.imdb.com/title/tt0169547/
Anand,(1971),8.3,"25,923",Hrishikesh Mukherjee,See more ,https://www.imdb.com/title/tt0066763/
Braveheart,(1995),8.3,"932,356",Mel Gibson,English French Latin Scottish Gaelic Italian ,https://www.imdb.com/title/tt0112573/
Das Boot,(1981),8.3,"222,901",Wolfgang Petersen,German ,https://www.imdb.com/title/tt0082096/
3 Idiots,(2009),8.3,"324,982",Rajkumar Hirani,Hindi English ,https://www.imdb.com/title/tt1187043/
Toy Story,(1995),8.3,"852,945",John Lasseter,English ,https://www.imdb.com/title/tt0114709/
Tengoku to jigoku,(1963),8.3,"29,018",Akira Kurosawa,See more ,https://www.imdb.com/title/tt0057565/
Taare Zameen Par,(2007),8.3,"157,250",Aamir Khan,Hindi English ,https://www.imdb.com/title/tt0986264/
Amadeus,(1984),8.3,"356,334",Milos Forman,English Italian Latin German ,https://www.imdb.com/title/tt0086879/
Star Wars: Episode VI - Return of the Jedi,(1983),8.3,"917,346",Richard Marquand,English ,https://www.imdb.com/title/tt0086190/
1917,(2019),8.3,"313,569",Sam Mendes,English French German ,https://www.imdb.com/title/tt8579674/
Reservoir Dogs,(1992),8.3,"884,244",Quentin Tarantino,English ,https://www.imdb.com/title/tt0105236/
